gas_valve_position_percent,measured_ch4_percent,voltage,diesel_mass_flow,water_flow,ch4_volumeflow_raw,current_phase_1,current_phase_2,power_output,boost_pressure,exhaust_pressure,ch4_volumeflow,co2_volumeflow_raw,co2_volumeflow_processed,generator_frequency,cooling_water_out_temp,cooling_water_in_temp,exhaust_temp,calculated_ch4_share_percent,ch4_mass_flow_calc,des_percent,efficiency_electric,efficiency_thermal,sheet
19.2,49.647,230.339,0.326,1.128,59.063,0.099,0.0,0.001,0.868,2.175,38.9,16.65,0.0,52.928,100.0,5.003,147.363,100.0,2.531271428571429,9.903406916849198,0.002561189128076975,19.119902406416767,P0C70
19.2,49.894,230.47,0.328,0.939,59.1,0.0,0.0,0.001,0.858,2.175,38.9,16.682,0.0,53.001,100.0,5.062,147.535,100.0,2.532857142857143,9.952499875389705,0.002558190977280726,15.88779637116549,P0C70
19.2,50.037,230.027,0.33,0.54,59.028,0.0,0.0,0.002,0.859,2.169,38.9,16.648,0.0,52.924,100.0,5.114,147.493,99.99999999999999,2.5297714285714283,10.01809637679894,0.005118891059041399,9.136225735100483,P0C70
19.2,49.84,230.404,0.323,0.555,58.835,0.116,0.0,0.002,0.866,2.178,38.9,16.65,0.0,52.873,100.0,5.206,147.38,100.0,2.5215000000000005,9.855530560015811,0.005144961248259064,9.428681734090608,P0C70
19.2,49.586,230.158,0.344,0.657,59.062,0.0,0.0,0.001,0.857,2.175,38.8,16.636,0.0,52.987,100.0,5.216,147.493,100.0,2.5312285714285716,10.393545990196671,0.0025472990009196127,11.051096180978345,P0C70
19.2,49.84,230.47,0.319,0.469,58.827,0.0,0.001,0.001,0.837,2.135,38.9,16.645,0.0,52.851,100.0,5.292,147.443,100.0,2.521157142857143,9.746570989797384,0.002575940296687583,7.971138086619124,P0C70
19.2,49.926,230.109,0.327,0.527,58.853,0.004,0.0,0.002,0.876,2.173,38.9,16.647,0.0,52.859,100.0,5.407,147.141,100.0,2.5222714285714285,9.962673450934945,0.005137274409093498,8.920668779678598,P0C70
19.2,50.066,230.569,0.316,0.476,59.21,0.006,0.0,0.001,0.858,2.162,38.8,16.647,0.0,52.928,100.0,5.607,147.419,100.00000000000001,2.5375714285714293,9.607263716471818,0.002563228098545826,8.023410794337366,P0C70
19.2,49.692,230.306,0.308,0.486,58.957,0.006,0.0,0.003,0.867,2.173,38.9,16.665,0.0,52.989,100.0,5.765,147.141,99.99999999999999,2.526728571428571,9.423358444386471,0.007738394659157356,8.230062927284456,P0C70
19.2,49.877,230.552,0.303,0.46,59.017,0.0,0.0,0.0,0.892,2.176,38.9,16.65,0.0,52.877,100.0,5.808,147.022,100.0,2.5293000000000005,9.276021442628998,0.0,7.790953686289888,P0C70
19.2,49.836,230.273,0.324,0.266,59.099,0.008,0.005,0.002,0.87,2.192,38.9,16.642,0.0,52.981,100.0,5.706,147.128,100.0,2.5328142857142857,9.843224815498766,0.005122677499609037,4.475666798820565,P0C70
19.2,49.955,230.454,0.334,0.302,59.134,0.006,0.0,0.001,0.884,2.172,38.9,16.641,0.0,52.93,100.0,5.551,146.891,100.0,2.5343142857142857,10.11091222840053,0.0025522223016899628,5.071633218156065,P0C70
19.2,50.169,230.273,0.326,0.272,59.129,0.007,0.0,0.002,0.886,2.175,38.9,16.662,0.0,52.893,100.0,5.41,147.397,100.00000000000001,2.534100000000001,9.893446341969604,0.00511722630868674,4.5861028400584685,P0C70
19.2,49.779,230.454,0.33,0.46,59.147,0.009,0.0,0.002,0.884,2.167,38.9,16.647,0.0,53.007,100.0,5.318,147.608,100.0,2.534871428571429,9.999956172825069,0.005109622059778617,7.7519161893268365,P0C70
19.2,50.214,230.257,0.327,0.653,58.882,0.007,0.0,0.003,0.878,2.208,38.9,16.633,0.0,53.072,100.0,5.233,147.262,100.00000000000001,2.5235142857142865,9.958255353983926,0.007702494311570404,11.06892581472812,P0C70
19.2,49.824,230.372,0.341,0.415,58.95,0.005,0.0,0.002,0.873,2.15,38.9,16.648,0.0,53.096,100.0,5.216,147.124,100.0,2.5264285714285712,10.329820312637374,0.0051079073293858876,6.998761182073129,P0C70
19.2,50.234,230.322,0.329,0.519,59.056,0.006,0.0,0.003,0.859,2.173,38.9,16.646,0.0,52.999,100.0,5.127,147.335,100.0,2.5309714285714286,9.98650765672841,0.007677390338522584,8.778643042177539,P0C70
19.2,50.05,230.355,0.321,0.392,58.896,0.192,0.0,0.001,0.857,2.172,38.9,16.651,0.0,52.95,100.0,5.006,147.059,100.0,2.524114285714286,9.791329625353848,0.002571646468608334,6.67142392983412,P0C70
19.2,50.087,230.339,0.31,0.658,58.856,0.108,0.0,0.003,0.866,2.155,38.9,16.644,0.0,53.11,100.0,4.838,146.9,100.0,2.5224,9.493470798580118,0.0077456738403464,11.262957276469605,P0C70
19.2,50.317,230.388,0.309,0.732,58.975,0.109,0.0,0.002,0.854,2.183,38.9,16.652,0.0,52.956,100.0,4.842,147.399,100.0,2.5275,9.448450133866112,0.005155926495822894,12.510023908675649,P0C70
,,,,,,,,,,1.30445,,,,,,,,,,,,,P0C70
